ZIP,LETTERS,BUNDLES
568xx,18,1
569xx,10,1
571xx,18,1
573xx,13,1
576xx,13,1
579xx,17,1
580xx,13,1
582xx,13,1
583xx,13,1
587xx,10,1
593xx,15,1
594xx,10,1
595xx,11,1
596xx,13,1
598xx,10,1
599xx,10,1
600xx,10,1
604xx,17,1
607xx,14,1
609xx,10,1
610xx,15,1
611xx,11,1
613xx,16,1
614xx,10,1
616xx,14,1
617xx,18,1
619xx,15,1
620xx,13,1
621xx,12,1
622xx,15,1
624xx,16,1
626xx,10,1
627xx,14,1
629xx,10,1
630xx,14,1
631xx,11,1
633xx,12,1
634xx,16,1
635xx,13,1
636xx,13,1
637xx,10,1
638xx,11,1
639xx,13,1
641xx,11,1
643xx,14,1
645xx,12,1
646xx,10,1
647xx,11,1
648xx,12,1
650xx,10,1
651xx,11,1
652xx,13,1
653xx,14,1
654xx,14,1
655xx,13,1
656xx,10,1
657xx,14,1
658xx,10,1
659xx,12,1
661xx,19,1
662xx,11,1
664xx,12,1
665xx,16,1
666xx,13,1
667xx,17,1
668xx,20,2
670xx,10,1
671xx,14,1
672xx,14,1
673xx,12,1
675xx,18,1
676xx,14,1
677xx,13,1
679xx,12,1
680xx,13,1
683xx,11,1
684xx,13,1
686xx,11,1
687xx,14,1
688xx,11,1
689xx,11,1
690xx,11,1
691xx,15,1
692xx,10,1
694xx,13,1
695xx,11,1
698xx,11,1
699xx,11,1
700xx,12,1
701xx,11,1
702xx,13,1
703xx,14,1
704xx,14,1
706xx,11,1
709xx,12,1
710xx,10,1
712xx,15,1
713xx,11,1
715xx,14,1
716xx,14,1
717xx,11,1
718xx,15,1
720xx,11,1
722xx,10,1
723xx,13,1
724xx,10,1
725xx,11,1
726xx,12,1
727xx,10,1
728xx,12,1
730xx,14,1
731xx,14,1
732xx,16,1
733xx,12,1
736xx,11,1
737xx,12,1
738xx,18,1
740xx,17,1
741xx,16,1
742xx,17,1
743xx,16,1
744xx,12,1
745xx,12,1
746xx,12,1
747xx,11,1
749xx,14,1
751xx,12,1
752xx,10,1
753xx,11,1
757xx,12,1
758xx,11,1
759xx,18,1
760xx,12,1
761xx,10,1
762xx,12,1
764xx,13,1
765xx,11,1
766xx,10,1
767xx,15,1
771xx,13,1
773xx,15,1
774xx,14,1
775xx,15,1
778xx,16,1
780xx,14,1
781xx,16,1
782xx,12,1
783xx,10,1
784xx,15,1
786xx,11,1
787xx,11,1
788xx,12,1
789xx,18,1
790xx,10,1
791xx,10,1
792xx,10,1
793xx,14,1
794xx,10,1
798xx,15,1
799xx,15,1
800xx,11,1
801xx,14,1
802xx,12,1
804xx,13,1
806xx,12,1
808xx,10,1
809xx,16,1
810xx,18,1
811xx,18,1
812xx,13,1
814xx,13,1
815xx,17,1
817xx,12,1
818xx,13,1
819xx,12,1
820xx,11,1
822xx,14,1
823xx,16,1
824xx,10,1
825xx,15,1
827xx,12,1
829xx,15,1
830xx,13,1
831xx,11,1
834xx,11,1
837xx,12,1
838xx,11,1
839xx,13,1
840xx,14,1
842xx,12,1
843xx,11,1
844xx,12,1
846xx,12,1
848xx,11,1
849xx,10,1
850xx,10,1
851xx,11,1
853xx,12,1
854xx,10,1
855xx,12,1
856xx,13,1
857xx,10,1
858xx,18,1
860xx,12,1
861xx,10,1
862xx,13,1
863xx,11,1
864xx,11,1
865xx,13,1
866xx,12,1
867xx,14,1
868xx,15,1
870xx,13,1
871xx,10,1
872xx,14,1
874xx,11,1
878xx,10,1
879xx,14,1
880xx,13,1
881xx,11,1
883xx,11,1
887xx,14,1
889xx,14,1
890xx,11,1
892xx,12,1
893xx,11,1
894xx,12,1
896xx,10,1
898xx,16,1
900xx,110,11
901xx,108,7
902xx,109,7
903xx,111,11
904xx,104,10
905xx,109,7
906xx,113,11
907xx,115,11
908xx,114,11
909xx,120,8
910xx,109,7
911xx,114,11
912xx,111,11
913xx,115,11
914xx,114,11
915xx,111,11
916xx,107,7
917xx,106,7
918xx,117,11
919xx,107,7
920xx,110,11
921xx,108,7
922xx,111,11
923xx,119,11
924xx,114,11
925xx,111,11
926xx,112,11
927xx,105,7
928xx,111,11
929xx,114,11
930xx,112,11
931xx,111,11
932xx,106,7
933xx,116,11
934xx,110,11
935xx,110,11
936xx,107,7
937xx,109,7
938xx,112,11
939xx,109,7
940xx,114,11
941xx,114,11
942xx,108,7
943xx,109,7
944xx,108,7
945xx,115,11
946xx,117,11
947xx,110,11
948xx,110,11
949xx,108,7
950xx,115,11
951xx,112,11
952xx,112,11
953xx,112,11
954xx,109,7
955xx,111,11
956xx,116,11
957xx,115,11
958xx,135,9
959xx,119,11
960xx,109,7
961xx,117,11
962xx,108,7
963xx,115,11
964xx,109,7
965xx,109,7
966xx,110,11
967xx,110,11
968xx,115,11
969xx,113,11
970xx,114,11
971xx,114,11
972xx,108,7
973xx,114,11
974xx,117,11
975xx,115,11
976xx,114,11
977xx,112,11
978xx,122,8
979xx,110,11
980xx,113,11
981xx,110,11
982xx,113,11
983xx,105,7
984xx,112,11
985xx,105,7
986xx,108,7
987xx,107,7
988xx,116,11
989xx,107,7
990xx,109,7
991xx,114,11
992xx,110,11
993xx,115,11
994xx,113,11
995xx,113,11
996xx,113,11
997xx,113,11
998xx,111,11
999xx,110,11

10253,4
10307,6
11278,8
11488,9
11798,7
12539,7
12738,6
12821,8
13416,6
13765,9
14102,8
14222,9
14796,7
14841,7
14961,8
15793,8
15843,9
16154,7
16291,7
16441,6
16722,7
17562,9
17659,8
17832,9
18007,9
18618,8
18755,7
19075,9
19474,8
20592,8
20883,9
20904,9
21260,9
21357,2
21810,9
22003,9
22106,9
22347,7
22546,7
22742,6
22937,5
23423,7
23732,6
23822,9
24260,5
24303,8
24521,7
24606,9
24798,9
24897,9
24991,7
25058,7
25391,7
25587,9
25627,7
25880,9
26099,6
26236,9
26370,9
27248,6
27833,6
28205,9
28388,6
28504,7
28765,8
28967,8
29324,8
29964,5
30639,9
30901,8
31250,5
31386,7
32294,9
33389,9
33634,6
33815,9
34093,9
34366,9
34750,7
35107,8
35241,6
35592,6
37174,8
37736,9
38674,9
38791,7
39227,7
39946,8
40094,9
40108,8
40228,9
40485,7
40594,9
40887,8
40998,9
41051,9
41218,8
42081,6
42174,6
42687,7
42896,8
42930,8
43068,9
43321,7
43745,9
44016,7
44251,9
44778,8
45273,7
45405,7
45681,8
46709,8
46829,8
47140,9
47433,8
47801,9
48109,6
48303,8
48427,9
48880,8
49079,9
49295,9
49605,8
49831,8
50100,8
50205,7
50310,7
50812,5
50958,5
51060,7
51514,8
51853,9
52114,9
52476,8
52600,8
52993,9
53305,6
53960,8
54210,6
54307,4
54447,7
54781,9
54880,3
54979,7
55242,8
55303,7
55960,9
56119,9
56665,9
56790,9
57006,9
57210,9
57467,8
57585,8
57736,9
57849,9
58194,7
58437,9
58504,7
58675,7
58807,9
58901,7
59093,8
59172,9
59260,8
59762,9
60193,8
60293,9
60393,8
60534,6
60691,6
60894,9
61231,9
61568,5
61868,6
62392,8
62508,6
62801,8
63236,7
64008,8
64231,9
64419,8
64903,9
66004,9
66364,9
66935,7
67426,9
67863,5
68180,2
68229,9
68577,8
69368,7
69689,8
69776,7
70593,8
70792,7
70851,6
71119,7
71452,9
71993,7
72105,5
72916,8
73420,5
73586,8
73901,8
74849,8
75055,9
75428,8
75562,3
75664,8
76396,5
76843,8
76938,8
77018,5
77293,9
77698,7
77721,9
77973,7
78548,8
79531,9
79673,7
79767,9
80335,8
80598,5
80755,8
81334,7
81699,9
82107,9
82662,5
82895,9
83235,8
83398,9
83507,8
83638,9
84139,8
84518,8
84761,4
85266,8
85914,7
86987,8
87305,6
87501,9
87643,9
87728,8
88261,8
88436,8
88575,9
88645,6
88885,6
89178,8
89517,9
89762,5
89967,7

TOTALS,23827,1902

9999
00000
8x209
123456
(9561
95y15
779380
294581
439941
332472
305090
334642
839829
481804
291325
597511
497149
227322
148088
554238
526987
446424
690704
252799
712108
355718
822971
884410
485785
763153
729068
183326
837312
417366
408667
284786
976146
928492
550596
594168
812384
535831
563827
668679
724502
105276
147455
990609
678737
158096
916424
160530
922935
244689
384175
568868
294515
152007
530426
759712
608031
835246
820017
312837
303416
753441
101762
149907
594437
884097
740498
974920
468942
620458
930750
331263
147254
428638
452888
244896
730878
302300
553669
642211
184780
873756
228174
238790
473814
964019
737118
904743
845287
740943
433348
730469
214797
205468
546941
529868
753879
995026
525474
279424
592486
700204
